Designator,Mid X,Mid Y,Rotation,Layer
R43,147.523,-107.569,180.0,top
R44,147.523,-103.082,180.0,top
R45,147.476,-99.145,180.0,top
R46,147.523,-95.208,180.0,top
R47,186.8785,-98.425,180.0,top
R48,186.8785,-94.488,180.0,top
R49,223.8395,-98.552,180.0,top
R5,91.0785,-126.0028,270.0,top
R50,223.8395,-94.615,180.0,top
R51,152.349,-107.569,180.0,top
R52,152.349,-103.082,180.0,top
R53,152.302,-99.145,180.0,top
R54,152.349,-95.208,180.0,top
R55,191.7045,-98.425,180.0,top
R56,191.7045,-94.488,180.0,top
R57,228.6655,-98.552,180.0,top
R58,228.6655,-94.615,180.0,top
R59,157.175,-107.569,180.0,top
R6,93.5037,-126.7272,180.0,top
R60,157.175,-103.082,180.0,top
R61,157.128,-99.145,180.0,top
R62,157.175,-95.208,180.0,top
R63,196.5305,-98.425,180.0,top
R64,196.5305,-94.488,180.0,top
R65,233.4915,-98.552,180.0,top
R66,233.4915,-94.615,180.0,top
R67,161.9355,-107.569,180.0,top
R68,161.9355,-103.082,180.0,top
R69,161.8885,-99.145,180.0,top
R7,177.9699,-124.492,0.0,top
R70,161.9355,-95.208,180.0,top
R71,201.291,-98.425,180.0,top
R72,201.291,-94.488,180.0,top
R73,238.252,-98.552,180.0,top
R74,238.252,-94.615,180.0,top
R75,166.6855,-107.569,180.0,top
R76,166.6855,-103.082,180.0,top
R77,166.6385,-99.145,180.0,top
R78,166.6855,-95.208,180.0,top
R79,206.041,-98.425,180.0,top
R8,183.8103,-127.731,90.0,top
R80,206.041,-94.488,180.0,top
R81,243.002,-98.552,180.0,top
R82,243.002,-94.615,180.0,top
R83,209.2127,-204.8764,0.0,top
R84,215.1261,-208.1376,90.0,top
R85,213.4497,-208.162,90.0,top
R86,211.7225,-208.1376,270.0,top
R87,240.2393,-204.9272,0.0,top
R88,246.2967,-208.1662,90.0,top
R89,244.5695,-208.1662,90.0,top
R9,182.1519,-167.324,90.0,top
R90,242.8423,-208.1662,270.0,top
R91,91.125,-246.0112,270.0,top
R92,93.5502,-246.7356,180.0,top
R93,178.0164,-244.5004,0.0,top
R94,183.8568,-247.7394,90.0,top
R95,182.2058,-247.7394,90.0,top
R96,180.5548,-247.7394,270.0,top
R97,209.1944,-244.5004,0.0,top
R98,215.1078,-247.7616,90.0,top
R99,213.4314,-247.786,90.0,top
T1,106.9027,-117.9642,0.0,top
T2,106.8953,-157.5572,0.0,top
T3,106.9675,-198.3486,0.0,top
T4,106.9492,-237.9726,0.0,top
T5,106.9681,-278.13,0.0,top
T6,106.9647,-317.6768,0.0,top
U1,152.8277,-115.8052,0.0,top
U10,152.8931,-275.971,0.0,top
U11,156.7221,-286.404,0.0,top
U12,152.8897,-315.5178,0.0,top
U13,156.7187,-325.9508,0.0,top
U14,303.1425,-165.4556,270.0,top
U15,303.2225,-245.8246,270.0,top
U16,303.2225,-325.5806,270.0,top
U2,152.8203,-155.3982,0.0,top
U3,156.6493,-165.8312,0.0,top
U4,113.493,-89.559,180.0,top
U5,156.6567,-126.2382,0.0,top
U6,152.8925,-196.1896,0.0,top
U7,156.7215,-206.6226,0.0,top
U8,152.8742,-235.8136,0.0,top
U9,156.7032,-246.2466,0.0,top
